trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size
14,0.0179840587079525,23,0.0179840587079525,0.009139430709183216,-0.0008507195161655545,0.032914844594912306,4,2,192,25,0.24733683155231603,0.0028939736667140123,2.6565615072617608e-05,swish,128
60,0.019017422571778297,23,0.019017422571778297,0.00497088860720396,0.007689023856073618,0.056425447876992524,4,4,896,25,0.2676570636947224,0.0035025393261101287,0.0015212365172138224,elu,64
39,0.01935136504471302,27,0.01935136504471302,0.008778371848165989,0.005149770528078079,0.056425447876992524,4,2,768,25,0.1494852543342729,0.0007403228426095488,5.541021279401832e-06,elu,64
16,0.01968267560005188,24,0.01968267560005188,0.010082517750561237,0.0008028719457797706,0.06112756853340857,4,2,128,25,0.24212835754298723,0.002032349579374977,0.0002249214140691477,swish,128
61,0.019987622275948524,19,0.019987622275948524,0.009106503799557686,0.0025778894778341055,0.05172332722057649,4,4,832,25,0.31681766546555956,0.00269223323091096,0.0004968220560185508,elu,64
70,0.020350802689790726,20,0.020350802689790726,0.00791048351675272,-0.006983533967286348,0.07993605115907274,4,4,960,25,0.2700040320600158,0.0033501855975838673,6.280241004655707e-05,relu,64
18,0.02037394605576992,18,0.02037394605576992,0.010392529889941216,0.001125988899730146,0.06112756853340857,4,2,256,25,0.24525940421987347,0.002119332894921797,2.4520267202158287e-05,swish,64
55,0.02056789956986904,13,0.02056789956986904,0.010092394426465034,-0.0033394619822502136,0.12695725772323319,4,4,832,25,0.30955466417570804,0.005490581538394557,0.00018541461469233583,elu,64
22,0.020759286358952522,26,0.020759286358952522,0.010095063596963882,-0.003376791952177882,0.028212723938496262,4,2,256,25,0.26839802680915303,0.002422952090535891,7.265240765985949e-05,swish,128
77,0.02076961286365986,22,0.02076961286365986,0.010152795352041721,0.0007244441076181829,0.11285089575398505,4,4,832,25,0.2875006041081948,0.006204821715058865,0.0002867811001989596,elu,128
56,0.020959410816431046,18,0.020959410816431046,0.009610489942133427,-0.0015340456739068031,0.12225513706681713,4,4,704,25,0.2904990826476588,0.0020003212058295216,0.00035884727025895966,elu,64
17,0.02192440815269947,30,0.02192440815269947,0.01092021819204092,0.002879843581467867,0.04702120656416044,4,2,256,25,0.23535131247600527,0.0006907058790722627,0.00016120776083249481,swish,128
76,0.02220894768834114,17,0.02220894768834114,0.010263202711939812,-0.005039812531322241,0.07053180984624066,4,4,1024,25,0.2752547000738522,0.005066424019233441,0.00020961378845671356,elu,64
47,0.022707248106598854,21,0.022707248106598854,0.011269818991422653,-0.0007792999967932701,0.20689330888230595,4,1,128,25,0.27474340285265636,0.004638727068728133,3.692291008771035e-05,elu,32
50,0.0230666883289814,23,0.0230666883289814,0.012071856297552586,0.004010551143437624,0.03761696525132835,4,2,384,21,0.34202874230854763,0.0017235203699118651,7.823533552732616e-06,elu,64
34,0.023194221779704094,29,0.023194221779704094,0.010455546900629997,-0.007072368171066046,0.04702120656416044,4,2,384,25,0.1076642147184907,0.00028470371812854846,1.4788066879395798e-05,elu,64
15,0.023470662534236908,23,0.023470662534236908,0.011779663152992725,-0.003807221772149205,0.014106361969248131,4,1,128,25,0.2393253030616896,0.0022812181452502777,0.00015841418150754652,swish,128
46,0.02420787326991558,20,0.02420787326991558,0.0096061946824193,-0.006005223374813795,0.108148775097569,3,2,256,25,0.30497489271880446,0.0035533425259455078,1.0495886420477788e-05,elu,64
35,0.02471204102039337,24,0.02471204102039337,0.010183097794651985,0.008257107809185982,0.06112756853340857,4,2,448,25,0.18566491496517043,0.0005578511521928163,8.090314261518704e-05,elu,64
33,0.025760555639863014,17,0.025760555639863014,0.014174066483974457,-0.00034709935425780714,0.06112756853340857,4,2,192,25,0.17022397485704896,0.0006085792476816209,1.4068260841253524e-05,elu,64
25,0.026101134717464447,14,0.026101134717464447,0.0130087835714221,0.002343955682590604,0.07993605115907274,3,3,192,25,0.29561054613595766,0.004539523659544919,9.936120998886619e-05,swish,64
13,0.02995775267481804,25,0.02995775267481804,0.01638675481081009,0.0011552462819963694,0.04231908590774439,3,1,512,25,0.2327221590301234,0.003792749263052182,2.492869650661156e-06,swish,128
7,0.031797029078006744,26,0.031797029078006744,0.01730261743068695,-0.0017718815943226218,0.07053180984624066,3,4,960,25,0.2954044297767479,0.005265761277157428,2.1118006447731506e-06,relu,128
10,0.033693138509988785,22,0.033693138509988785,0.019520806148648262,0.0022041741758584976,0.108148775097569,3,1,576,25,0.1660206038901612,0.0074723976893329375,5.865673885623802e-06,swish,32
63,0.035049062222242355,11,0.035049062222242355,0.017817562445998192,0.00526139372959733,0.12225513706681713,4,4,896,25,0.3373589750461812,0.009636358102984226,0.0008675206169653244,elu,64
8,0.04324822872877121,30,0.04324822872877121,0.025757597759366035,0.002216256922110915,0.1833827056002257,3,3,448,11,0.1402634929450309,0.00037126241790405324,2.6691294054368943e-06,relu,64
12,0.04612785577774048,18,0.04612785577774048,0.028243737295269966,0.0024275912437587976,0.2727229980721305,3,1,640,25,0.13767153965059592,0.009716004715546145,1.3084641956428513e-05,swish,32
4,0.06493318825960159,18,0.06493318825960159,0.04162879288196564,-0.00578049011528492,0.2257017915079701,1,4,832,21,0.26870215041229617,0.0034877126245459306,3.569679952400554e-06,swish,32
1,0.06977647542953491,19,0.06977647542953491,0.046211130917072296,0.0006050171214155853,0.10344665444115297,3,2,384,11,0.18682099526511076,0.0037183641805732083,9.539146722066813e-06,elu,256
3,0.07535859942436218,17,0.07535859942436218,0.05098217725753784,0.0027903749141842127,0.30563784266704286,4,4,960,15,0.06356818667316143,0.0004473636174621269,4.1853531516021084e-05,elu,256
6,0.07796406745910645,6,0.07796406745910645,0.05223633348941803,-0.0032403406221419573,0.08463817181548879,2,3,960,21,0.0730939729486379,0.0003797544798678418,7.060740621969176e-06,relu,256
5,0.07803310453891754,8,0.07803310453891754,0.052273474633693695,-4.99992493132595e-05,0.26331875675929844,2,3,704,11,0.27823551458506923,0.0013260331922696556,0.0008331634733107854,elu,256
2,0.0785301998257637,18,0.0785301998257637,0.05256246030330658,0.009472074918448925,0.3714675318568675,4,4,384,15,0.19855307303338104,0.00011715937392307068,0.002459496283204652,elu,256
0,0.08013177663087845,8,0.08013177663087845,0.054077617824077606,0.0005097126122564077,0.04231908590774439,2,4,768,11,0.3098528437324805,0.0015930522616241021,0.0005093521419362401,elu,256
