trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm
15,0.007269757799804211,37,0.007269757799804211,0.0038792311679571867,0.0002826654526870698,0.005989099838294304,3,4,704,25,0.14789934963696308,0.0016700987667498475,0.001424734917958966,swish,64,True
166,0.007274093572050333,30,0.007274093572050333,0.0027459317352622747,0.0018915454857051373,0.005989099838294304,4,3,576,25,0.1902260663650781,0.0006008054388261244,0.0008298375396582217,relu,32,True
128,0.007285015191882849,23,0.007285015191882849,0.003634034190326929,0.0005638475413434207,0.011978199676588608,4,2,640,25,0.19505163300886513,0.0006778173336254871,1.3876029367739944e-05,swish,32,True
85,0.007376506458967924,32,0.007376506458967924,0.003354207845404744,0.0017185291508212686,0.005989099838294304,4,3,704,25,0.15530991547060044,0.0004429113040153127,0.0009195447229421852,elu,32,True
34,0.007620925549417734,38,0.007620925549417734,0.003398813074454665,0.0009186866809614003,0.011978199676588608,4,2,512,25,0.11059830241851636,0.0007782991731597015,0.00019891726776502536,swish,128,True
65,0.007634226698428392,33,0.007634226698428392,0.0034454762935638428,0.0003849661734420806,0.011978199676588608,4,3,640,25,0.16613155542611838,0.002757940770212913,0.0015566190661642522,elu,32,True
51,0.00779949314892292,33,0.00779949314892292,0.004511914681643248,0.0003725926508195698,0.017967299514882913,3,4,640,25,0.12387048145948336,0.002558136884798682,0.0023207972225721216,swish,64,True
105,0.007876293733716011,33,0.007876293733716011,0.0039731040596961975,-0.00030510951182805,0.0,4,3,704,25,0.19692409788707035,0.0004349648730668664,0.002062564678883742,elu,32,True
10,0.007958823814988136,31,0.007958823814988136,0.003797956509515643,0.0006416345713660121,0.005989099838294304,3,4,512,25,0.0545325674874876,0.0021914469472126626,2.2523118204412408e-06,swish,64,True
126,0.00809063483029604,36,0.00809063483029604,0.004434986971318722,0.0009782916167750955,0.0,4,3,576,25,0.17863093283774317,0.00034482245490957756,0.0021507187898316743,elu,32,True
14,0.00839298591017723,34,0.00839298591017723,0.004130061250180006,-0.000965811894275248,0.017967299514882913,3,4,640,25,0.14625505358594512,0.0017751826990132697,0.0009417688315514512,swish,64,True
99,0.008469038642942905,26,0.008469038642942905,0.0031701428815722466,0.0026888358406722546,0.05390189854464874,4,2,640,25,0.1822115238321398,0.0007840033823527528,0.0005026121303870725,elu,32,True
124,0.008494742214679718,39,0.008494742214679718,0.00358320283703506,0.0005441667162813246,0.04192369886806013,4,3,704,25,0.1648948549740746,0.0006134791193614733,0.0011289407901071827,elu,32,True
156,0.008777151815593243,39,0.008777151815593243,0.003973039798438549,0.0024516545236110687,0.04791279870635443,4,3,704,25,0.16844736402681287,0.0005343195807252928,0.0012088952163988198,elu,32,True
143,0.00884574931114912,26,0.00884574931114912,0.004199042450636625,0.0012914541875943542,0.005989099838294304,4,3,640,25,0.1760738111599723,0.0014014540815536437,0.0007024689989946057,elu,32,True
108,0.00908281747251749,40,0.00908281747251749,0.004513103980571032,0.0010624408023431897,0.011978199676588608,4,3,640,21,0.23377644239285097,0.00029282586548841474,0.0010199275754584913,elu,32,True
146,0.009294857271015644,31,0.009294857271015644,0.004581444431096315,-0.0003870336222462356,0.005989099838294304,4,3,704,25,0.14560864176684044,0.00041598401887547306,5.620468090815618e-06,elu,32,True
81,0.0094011090695858,25,0.0094011090695858,0.005030024331063032,0.0020625123288482428,0.017967299514882913,4,2,832,25,0.1830919656927594,0.0004541127432093529,0.0007756910557740303,elu,32,True
123,0.009560937061905861,27,0.009560937061905861,0.005042306613177061,0.003575696609914303,0.023956399353177216,4,3,640,25,0.1569091222788057,0.0007451175272400258,0.0013593221620998245,elu,32,True
142,0.009619731456041336,35,0.009619731456041336,0.004308806732296944,-0.0016363031463697553,0.0,4,3,768,25,0.12298810775038345,0.0008483247627947508,5.993428861192805e-05,swish,64,True
45,0.009694746695458889,38,0.009694746695458889,0.004517614841461182,0.001209298032335937,0.0,4,4,576,25,0.05152438238449388,0.0005997529086220348,0.00016716698962399766,swish,64,True
63,0.009896388277411461,36,0.009896388277411461,0.0037202537059783936,0.004251744132488966,0.011978199676588608,3,4,640,25,0.08293692472943333,0.001193469976462461,0.0011298378728487296,swish,64,True
86,0.009940441697835922,35,0.009940441697835922,0.004860822111368179,-0.0014259946765378118,0.011978199676588608,4,3,704,21,0.152754798121327,0.0004541627179268925,0.0009614988431694512,elu,32,True
93,0.01073993556201458,35,0.01073993556201458,0.004540717229247093,0.003138192230835557,0.011978199676588608,4,3,640,25,0.17712017521775048,0.00043077447263046453,0.001507910039954337,elu,32,True
