trial,score,best_epoch,val_mae,val_sigma,val_bias,val_eta_15,n_conv_blocks,n_dense_layers,n_units,kernel_size,dropout_rate,learning_rate,weight_decay,activation,batch_size,use_batchnorm
55,0.010076149366796017,35,0.010076149366796017,0.005370437633246183,0.0006982797640375793,0.011978199676588608,3,4,1024,25,0.13291287653134218,0.0022901933720436865,0.0004846058045747014,swish,32,True
92,0.010241834446787834,33,0.010241834446787834,0.005672002676874399,0.0002029836759902537,0.0,3,4,896,25,0.14860046174496003,0.0016547941840965882,0.0010207226575620256,swish,32,True
229,0.010271494276821613,30,0.010271494276821613,0.005220271646976471,0.0015570427058264613,0.011978199676588608,3,4,640,25,0.14225556036594236,0.0012914259400894938,0.004982872172260655,swish,32,True
77,0.010342620313167572,39,0.010342620313167572,0.005487562157213688,-0.0021629994735121727,0.011978199676588608,3,4,960,25,0.2784407047964682,0.0012653362833487465,0.0010574897214313446,swish,32,True
56,0.010576891712844372,29,0.010576891712844372,0.004174897447228432,-0.0031010620296001434,0.005989099838294304,3,4,1024,25,0.13084651065699246,0.0023002158838813136,0.0044303848597377375,elu,32,True
20,0.010841727256774902,40,0.010841727256774902,0.004334511701017618,0.0040097348392009735,0.035934599029765826,4,3,896,25,0.3051851397923906,0.0017916695339055065,0.0011058886495833905,swish,32,True
52,0.010923927649855614,33,0.010923927649855614,0.006485331803560257,-0.00012251663429196924,0.005989099838294304,3,4,896,25,0.1269618502129963,0.0017692623393644837,0.0012544458995997943,swish,32,True
54,0.011071905493736267,32,0.011071905493736267,0.005934692919254303,0.0005525153246708214,0.011978199676588608,3,4,1024,25,0.08543438012047697,0.0015898625579251259,0.0005177107514180386,swish,32,True
189,0.011332589201629162,33,0.011332589201629162,0.006082203704863787,-0.0003878551069647074,0.0,3,4,1024,25,0.20942469381745416,0.0024934625990276978,0.00015307792286906892,swish,32,True
244,0.011656961403787136,29,0.011656961403787136,0.005074393004179001,0.0035210633650422096,0.023956399353177216,3,4,960,25,0.27576736657635875,0.0016276815385830423,0.0004113860605951677,swish,32,True
222,0.011845464818179607,38,0.011845464818179607,0.004640903789550066,0.004524584859609604,0.011978199676588608,3,4,640,25,0.14017877532917322,0.0012898187452377446,0.002012758786417149,swish,32,True
85,0.011889929883182049,25,0.011889929883182049,0.006468299776315689,0.0015109482919797301,0.023956399353177216,3,4,960,25,0.21796462474271694,0.002734917512384437,0.001666234528311808,swish,32,True
132,0.012137194164097309,34,0.012137194164097309,0.006074524950236082,0.003662224393337965,0.005989099838294304,3,3,896,25,0.12315165413841395,0.002582299566267392,0.00037841487490950177,swish,32,True
53,0.012162328697741032,23,0.012162328697741032,0.005874194670468569,-0.002636496676132083,0.017967299514882913,3,4,896,25,0.10210444919976593,0.001552200646693976,0.0006692269748158889,swish,32,True
174,0.012268394231796265,21,0.012268394231796265,0.00604355288669467,0.0007548591238446534,0.0,4,3,896,25,0.1766264681033898,0.0012484350077441874,0.00027247099318972596,swish,32,True
228,0.012343194335699081,24,0.012343194335699081,0.00680834474042058,0.0012270509032532573,0.005989099838294304,3,4,704,25,0.13017926675902194,0.0013714345349235366,0.0018163844311985446,swish,32,True
89,0.012507732957601547,38,0.012507732957601547,0.00594011414796114,0.004936606157571077,0.011978199676588608,3,3,832,25,0.1108594268981547,0.0009129099819925769,0.0020453537971040457,swish,32,True
82,0.012515012174844742,40,0.012515012174844742,0.005796811077743769,-0.00393139710649848,0.0,3,4,896,25,0.2724284432177473,0.001617904320618663,0.00020691943665040284,swish,32,True
146,0.012561892159283161,35,0.012561892159283161,0.006827103439718485,0.0008740390185266733,0.011978199676588608,3,4,832,25,0.31645130904656754,0.001150313488954053,0.00011079742254788664,swish,32,True
140,0.012642973102629185,26,0.012642973102629185,0.006789719685912132,-0.000787230848800391,0.005989099838294304,4,4,1024,25,0.3024245632352099,0.0021378960574300475,0.0014761887712073766,swish,32,True
16,0.01267563458532095,21,0.01267563458532095,0.006683032959699631,-0.00020185417088214308,0.017967299514882913,4,3,896,25,0.11670390707033833,0.0009888557645571206,0.0008486580203212947,swish,32,True
14,0.012823114171624184,30,0.012823114171624184,0.006761031690984964,0.000618722930084914,0.005989099838294304,3,4,896,25,0.14625505358594512,0.0017751826990132697,0.0011912509567534692,swish,32,True
180,0.012867238372564316,20,0.012867238372564316,0.006830461323261261,-0.0014296339359134436,0.005989099838294304,3,4,1024,25,0.08830325939667667,0.0013700510353737074,0.0011877344013049385,swish,32,True
11,0.012952481396496296,30,0.012952481396496296,0.0065385992638766766,-0.002903534797951579,0.005989099838294304,3,4,1024,25,0.05510288616461939,0.002481049579043643,0.0017406619829956323,elu,32,True
64,0.013032280839979649,33,0.013032280839979649,0.006901335436850786,-9.660883370088413e-05,0.029945499191471523,3,4,896,25,0.1083997436108682,0.0021678052872519237,6.899401231044782e-05,swish,32,True
10,0.01305111963301897,21,0.01305111963301897,0.006944999098777771,0.0018214519368484616,0.011978199676588608,3,4,1024,25,0.054428412832158046,0.0021914469472126626,0.0021490576302870016,elu,32,True
66,0.013188996352255344,23,0.013188996352255344,0.0067363022826612,-0.0025361983571201563,0.023956399353177216,3,4,512,25,0.14391434954938995,0.0017091622878767465,6.181291148841556e-06,elu,32,True
223,0.013234831392765045,31,0.013234831392765045,0.0069794985465705395,-0.0018325068522244692,0.005989099838294304,3,4,832,25,0.21713869121390234,0.002290907505051552,0.0007025267878543588,swish,32,True
151,0.01339326985180378,37,0.01339326985180378,0.007725214585661888,-0.00040689235902391374,0.0,3,4,1024,25,0.2764122688563554,0.0013560203968966626,0.0015729128030528602,swish,32,True
98,0.013444972224533558,27,0.013444972224533558,0.007788042537868023,-0.0004829136305488646,0.005989099838294304,3,4,1024,25,0.18990600106641303,0.0011921502592513128,0.0002555439478515477,swish,32,True
241,0.013511956669390202,34,0.013511956669390202,0.005833536386489868,-0.004322895780205727,0.011978199676588608,3,4,768,25,0.13201383735857042,0.0017236698874388233,0.0012105774264573187,swish,32,True
50,0.013630986213684082,30,0.013630986213684082,0.008420189842581749,-0.0002577451232355088,0.0,4,4,960,25,0.2782085660450283,0.0006226955508511923,0.0009282520276751172,swish,32,True
226,0.013672545552253723,19,0.013672545552253723,0.007234922144562006,-1.776453063939698e-05,0.0,4,4,896,25,0.1871377697010638,0.0019959399126956135,0.0011500243566801018,swish,32,True
45,0.013675875030457973,32,0.013675875030457973,0.006450101267546415,-0.0025312616489827633,0.023956399353177216,3,3,768,25,0.306126920341996,0.0019722576985538995,0.0016528377902126279,swish,32,True
42,0.013707389123737812,33,0.013707389123737812,0.0072130863554775715,0.0030066941399127245,0.05390189854464874,4,3,896,25,0.18850853703975742,0.0008140276763180044,0.0007247935626781994,swish,32,True
217,0.013759070076048374,32,0.013759070076048374,0.007723655551671982,-9.139685425907373e-05,0.005989099838294304,3,4,320,25,0.21424229904382397,0.002440055463127778,0.00046120399646139374,swish,32,True
221,0.013821927830576897,30,0.013821927830576897,0.00748970452696085,-0.0026331038679927588,0.023956399353177216,3,4,1024,25,0.2996223204738125,0.001808612357914942,0.0014968103534386574,swish,32,True
